refcode	metal	m_ox	totcharge	CN	N	geometry	min	coord_sphere	formula_ligs_list	TMC_formula	d_elec	elem_nr	groups	len_groups	name
PIMBUK	Co	2	0	6	215	Octahedral	0.65	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H8-C10-N2', 'H8-C8-O5']	H18-C18-N2-O6-Co	7	27	['PIMBUK']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
INIDIT	Co	2	0	6	365	Octahedral	3.13	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H8-C12-N2', 'H9-C14-O3', 'H9-C14-O3']	H28-C40-N2-O7-Co	7	27	['INIDIT']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
DUBXEE	Co	2	0	6	241	Octahedral	3.33	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H8-C12-N2', 'H9-C5-O2', 'H9-C5-O2']	H28-C22-N2-O5-Co	7	27	['DUBXEE']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
KIKZOU	Co	2	0	6	251	Octahedral	2.13	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H8-C5-N2', 'H8-C5-N2', 'H9-C5-O2', 'H9-C5-O2']	H36-C20-N4-O5-Co	7	27	['KIKZOU']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
UGOYIZ	Co	2	0	6	487	Octahedral	0.81	('N', 'N', 'O', 'O', 'O', 'O')	['H20-C10-N3-O2-P-Cl3', 'H20-C10-N3-O2-P-Cl3', 'H8-C12-N2']	H48-C32-N8-O4-P2-Cl6-Co	7	27	['UGOYIZ']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
HAFYOC	Co	2	0	6	349	Octahedral	3.49	('N', 'N', 'O', 'O', 'O', 'O')	['H20-C14-O2', 'H20-C14-O2', 'H6-C8-N4']	H46-C36-N4-O4-Co	7	27	['HAFYOC']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
SUTZIT	Co	2	0	6	503	Octahedral	6.61	('N', 'N', 'O', 'O', 'O', 'O')	['H20-C26-N2', 'H9-C14-N-O2-F3', 'H9-C14-N-O2-F3']	H38-C54-N4-O4-F6-Co	7	27	['SUTZIT']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
BEQDEH	Co	2	0	6	529	Octahedral	0.32	('N', 'N', 'O', 'O', 'O', 'O')	['H20-C27-N3-O', 'H20-C27-N3-O', 'H7-C3-N-O', 'H7-C3-N-O']	H54-C60-N8-O4-Co	7	27	['BEQDEH']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
ERUPOY	Co	2	0	6	531	Octahedral	0.73	('N', 'N', 'O', 'O', 'O', 'O')	['H21-C19-N4-O3-F2', 'H21-C19-N4-O3-F2', 'H8-C12-N2']	H50-C50-N10-O6-F4-Co	7	27	['ERUPOY']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
JABJOL	Co	2	0	6	229	Octahedral	0.43	('N', 'N', 'O', 'O', 'O', 'O')	['H22-C10-N2', 'H7-C5-O2', 'H7-C5-O2']	H36-C20-N2-O4-Co	7	27	['JABJOL']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
